Contract_No,EMI_Realized_count,SaleDate,Cancel,status_request,total_value,interaction_state_value,created,acontractid,run_date
87338,4,2006-09-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
96224,9,2007-02-10T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
117500,0,2007-12-04T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
180817,6,2010-01-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
237019,0,2012-03-27T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
283975,0,2013-12-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
311101,4,2014-12-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
317201,1,2015-03-24T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
343180,42,2015-12-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
356230,37,2016-05-28T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
370123,0,2016-11-15T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
382223,3,2017-03-14T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
384638,28,2017-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
395321,24,2017-07-19T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
396561,4,2017-07-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
400440,22,2017-09-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
400612,22,2017-09-29T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
403974,12,2017-10-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
404260,20,2017-11-10T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
405115,20,2017-11-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
413553,17,2018-02-28T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
414262,11,2018-02-28T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
416191,16,2018-03-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
417040,16,2018-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
417823,1,2018-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
418413,16,2018-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
418573,10,2018-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
427874,3,2018-07-14T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
432875,11,2018-08-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
433397,10,2018-09-10T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
439991,8,2018-11-28T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
440693,6,2018-11-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
445291,6,2019-01-31T00:00:00.000Z,Active_with_no_cancellation,,,,2019-11-07T00:00:00.000Z,446043,03-09-2019
446005,4,2019-02-11T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
446447,4,2019-02-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
450950,3,2019-03-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
456117,1,2019-05-30T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
457073,0,2019-06-17T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
457460,0,2019-06-21T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
457587,0,2019-06-26T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
458064,0,2019-06-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
104672,6,2007-06-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
137519,18,2008-07-22T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
200448,0,2010-11-01T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
238460,0,2012-03-29T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
314951,6,2015-02-28T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
363645,34,2016-08-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
368211,33,2016-10-18T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
375032,0,2016-12-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
384028,28,2017-03-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
387116,27,2017-04-21T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
388811,27,2017-04-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
398701,2,2017-08-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
421534,6,2018-04-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
429637,12,2018-07-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
435426,10,2018-09-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
435774,10,2018-09-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
437645,8,2018-10-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
439307,7,2018-11-19T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
440328,9,2018-11-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
441948,6,2018-12-21T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
444553,6,2019-01-29T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
444983,6,2019-01-29T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
449920,4,2019-03-27T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
454012,1,2019-05-08T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
454911,1,2019-05-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
455461,1,2019-05-27T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
456823,0,2019-06-13T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
457404,0,2019-06-19T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
458086,0,2019-06-28T00:00:00.000Z,Rescission_Cancellation_Request,Pending,20,,,,03-09-2019
458836,1,2019-06-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
204786,0,2010-12-20T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
255514,3,2012-12-15T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
277683,1,2013-09-30T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
294919,7,2014-05-21T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
332748,47,2015-08-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
345080,42,2016-01-31T00:00:00.000Z,Active_with_no_cancellation,,,,,,03-09-2019
