Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
87338,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
311101,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
317201,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
382223,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
396561,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
417823,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
427874,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
446005,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
446447,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
450950,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
398701,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
449920,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
454911,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
455461,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
458836,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
255514,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
277683,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
346456,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
370708,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
418055,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
446213,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
446345,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
446575,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
448153,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
451521,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
457055,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
457346,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
252519,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
329597,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
407157,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
446998,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
448901,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
450633,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
450738,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
451159,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
452179,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
457041,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
349857,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
352301,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
374889,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
444638,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
446987,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
455899,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
413427,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
434657,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
444321,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
446683,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
452139,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
315238,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
350306,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
445688,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
446540,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
450588,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
452670,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
455991,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
456108,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
456364,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
274412,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
351245,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
354715,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
447988,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
448356,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
450804,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
451349,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
451890,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
452011,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
458187,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
458885,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
308899,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
445810,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
445989,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
446041,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
451389,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
453529,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
46049,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
392977,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
446243,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
448262,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
449081,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
449109,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
449259,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
449578,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
449635,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
450609,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
451246,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
451876,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
452805,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
452972,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
455349,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
455620,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
455950,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
456250,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
248975,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
283391,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
447467,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
450948,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
451562,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
454832,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
455253,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
455498,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
456346,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
22665,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
326771,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
441633,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
447821,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
449561,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
449601,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
451478,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
452142,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
453380,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
453606,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
454099,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
457453,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
