Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
96224,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
180817,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
343180,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
356230,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
384638,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
395321,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
400440,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
400612,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
403974,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
404260,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
405115,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
413553,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
414262,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
416191,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
417040,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
418413,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
418573,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
432875,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
433397,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
439991,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
440693,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
445291,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
104672,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
137519,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
314951,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
363645,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
368211,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
384028,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
387116,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
388811,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
421534,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
429637,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
435426,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
435774,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
437645,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
439307,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
440328,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
441948,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
444553,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
444983,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
294919,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
332748,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
345080,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
365311,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
384368,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
404362,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
