Contract_No,Flag,upcoming_pdi_type,pdi_contracts_status,run_date
117500,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
237019,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
283975,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
370123,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
457587,FIF,"",PDI_Available_but_RO,2019-09-03
458064,FIF,"",PDI_Available_but_RO,2019-09-03
200448,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
238460,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
375032,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
204786,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
402914,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
430940,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
448201,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
456622,FIF,null_pdi,PDI_not_Available,2019-09-03
458365,FIF,"",PDI_Available_but_RO,2019-09-03
458700,FIF,"",PDI_Available_but_RO,2019-09-03
237296,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
456662,FIF,"",PDI_Available_but_RO,2019-09-03
457564,FIF,"",PDI_Available_but_RO,2019-09-03
458257,FIF,"",PDI_Available_but_RO,2019-09-03
314998,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
320535,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
421850,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
458098,FIF,"",PDI_Available_but_RO,2019-09-03
458270,FIF,"",PDI_Available_but_RO,2019-09-03
303008,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
140661,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
256914,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
408763,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
458820,FIF,"",PDI_Available_but_RO,2019-09-03
179475,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
278429,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
338564,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457435,FIF,null_pdi,PDI_not_Available,2019-09-03
458166,FIF,null_pdi,PDI_not_Available,2019-09-03
377839,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
394521,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
436394,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
451186,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457317,FIF,"",PDI_Available_but_RO,2019-09-03
457710,FIF,"",PDI_Available_but_RO,2019-09-03
457955,FIF,null_pdi,PDI_not_Available,2019-09-03
217940,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
375677,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
455488,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
456647,FIF,"",PDI_Available_but_RO,2019-09-03
456903,FIF,"",PDI_Available_but_RO,2019-09-03
458561,FIF,"",PDI_Available_but_RO,2019-09-03
458943,FIF,"",PDI_Available_but_RO,2019-09-03
308995,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
328523,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457446,FIF,null_pdi,PDI_not_Available,2019-09-03
457491,FIF,"",PDI_Available_but_RO,2019-09-03
239467,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
338809,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
456871,FIF,"",PDI_Available_but_RO,2019-09-03
457358,FIF,"",PDI_Available_but_RO,2019-09-03
458447,FIF,null_pdi,PDI_not_Available,2019-09-03
367729,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
458578,FIF,null_pdi,PDI_not_Available,2019-09-03
460328,FIF,"",PDI_Available_but_RO,2019-09-03
444234,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457801,FIF,"",PDI_Available_but_RO,2019-09-03
458476,FIF,"",PDI_Available_but_RO,2019-09-03
343349,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
436338,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457606,FIF,"",PDI_Available_but_RO,2019-09-03
458557,FIF,null_pdi,PDI_not_Available,2019-09-03
458690,FIF,null_pdi,PDI_not_Available,2019-09-03
230988,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457143,FIF,"",PDI_Available_but_RO,2019-09-03
458138,FIF,"",PDI_Available_but_RO,2019-09-03
362546,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
415424,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
440508,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457646,FIF,"",PDI_Available_but_RO,2019-09-03
457720,FIF,"",PDI_Available_but_RO,2019-09-03
458991,FIF,"",PDI_Available_but_RO,2019-09-03
459945,FIF,"",PDI_Available_but_RO,2019-09-03
355280,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
458043,FIF,null_pdi,PDI_not_Available,2019-09-03
459010,FIF,null_pdi,PDI_not_Available,2019-09-03
312863,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
362141,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
455344,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
459062,FIF,"",PDI_Available_but_RO,2019-09-03
290252,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
351558,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
357163,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
389035,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
457432,FIF,"",PDI_Available_but_RO,2019-09-03
459646,FIF,"",PDI_Available_but_RO,2019-09-03
270969,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
293378,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
420795,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
457688,FIF,"",PDI_Available_but_RO,2019-09-03
349845,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
397559,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
410901,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
415119,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457014,FIF,null_pdi,PDI_not_Available,2019-09-03
459917,FIF,"",PDI_Available_but_RO,2019-09-03
460638,FIF,"",PDI_Available_but_RO,2019-09-03
312061,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
457736,FIF,null_pdi,PDI_not_Available,2019-09-03
458862,FIF,"",PDI_Available_but_RO,2019-09-03
419772,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
420209,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
458963,FIF,null_pdi,PDI_not_Available,2019-09-03
460976,FIF,"",PDI_Available_but_RO,2019-09-03
444945,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
456847,FIF,"",PDI_Available_but_RO,2019-09-03
445217,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
447028,upgrade/ppc,null_pdi,PDI_not_Available,2019-09-03
324278,upgrade/ppc,"",PDI_Available_but_RO,2019-09-03
